head_word	match	diphthong?	V1	V2	preV1	postV2
áɨ-te	áɨ	yes	á	ɨ	#	t	
zóo-de	óo	yes	ó	o	z	d	
ti-nái-jɨ	ái	yes	á	i	n	j	
ái-rɨ-i-zai-de	ái	yes	á	i	#	r	
ái-rɨ-i-zai-de	ɨ-i	no	ɨ	i	r	z	
ái-rɨ-i-zai-de	ai	yes	a	i	z	d	
raɨ-gá-fo	aɨ	yes	a	ɨ	r	g	
llaɨ-ró-de	aɨ	yes	a	ɨ	l	r	
e-lláɨ-da-fi-de	áɨ	yes	á	ɨ	l	d	
jɨ-é-de	ɨ-é	no	ɨ	é	j	d	
aɨ-fó-cɨ	aɨ	yes	a	ɨ	#	f	
ji-zái-rai	ái	yes	á	i	z	r	
ji-zái-rai	ai	yes	a	i	r	#	
dá-cai-ño-á-ma-ni	ai	yes	a	i	c	ñ	
dá-cai-ño-á-ma-ni	o-á	no	o	á	ñ	m	
jé-tɨ-raɨ-ri-e	aɨ	yes	a	ɨ	r	r	
jé-tɨ-raɨ-ri-e	i-e	no	i	e	r	#	
jú-bi-e-tai-de	i-e	no	i	e	b	t	
jú-bi-e-tai-de	ai	yes	a	i	t	d	
rɨ-é-ni-co-e	ɨ-é	no	ɨ	é	r	n	
rɨ-é-ni-co-e	o-e	no	o	e	c	#	
zai-rí-zai-ri-cai-de	ai	yes	a	i	z	r	
zai-rí-zai-ri-cai-de	ai	yes	a	i	z	r	
zai-rí-zai-ri-cai-de	ai	yes	a	i	c	d	
llí̵-gɨ-aɨ	ɨ-a	no	ɨ	a	g	ɨ	
llí̵-gɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
já-fui-cɨ	ui	yes	u	i	f	c	
lle-tá-raɨ-ma	aɨ	yes	a	ɨ	r	m	
je-ruí-ri-tɨ-ma	uí	yes	u	í	r	r	
cɨ-mó-cai-ro	ai	yes	a	i	c	r	
ju-zí-ña-mui	ui	yes	u	i	m	#	
cí̵-maɨ	aɨ	yes	a	ɨ	m	#	
zái-e-nai-de	ái	yes	á	i	z	e	
zái-e-nai-de	i-e	no	i	e	á	n	
zái-e-nai-de	ai	yes	a	i	n	d	
cɨ-cúe-lla-ri-de	úe	yes	ú	e	c	l	
aɨ-güé-llɨ	aɨ	yes	a	ɨ	#	g	
nó-fɨ-ni-ai	i-a	no	i	a	n	i	
nó-fɨ-ni-ai	ai	yes	a	i	i	#	
zi-ó-rui-te	i-ó	no	i	ó	z	r	
zi-ó-rui-te	ui	yes	u	i	r	t	
íi-hi-de	íi	yes	í	i	#	h	
ɨ-dí̵-fe-goɨ-de	oɨ	yes	o	ɨ	g	d	
que-chá-to-ma	ue	yes	u	e	q	c	
ca-cái-de	ái	yes	á	i	c	d	
tai-fé-de	ai	yes	a	i	t	f	
re-tái-rui-te	ái	yes	á	i	t	r	
re-tái-rui-te	ui	yes	u	i	r	t	
cai-gái-ta-ra-go-e	ai	yes	a	i	c	g	
cai-gái-ta-ra-go-e	ái	yes	á	i	g	t	
cai-gái-ta-ra-go-e	o-e	no	o	e	g	#	
fá-i-cɨ-gaɨ	á-i	no	á	i	f	c	
fá-i-cɨ-gaɨ	aɨ	yes	a	ɨ	g	#	
u-zú-tɨ-aɨ	ɨ-a	no	ɨ	a	t	ɨ	
u-zú-tɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
fi-rái-cɨ	ái	yes	á	i	r	c	
chúu-no-raɨ-ma	úu	yes	ú	u	h	n	
chúu-no-raɨ-ma	aɨ	yes	a	ɨ	r	m	
dí̵ɨ-dɨ-de	í̵ɨ	yes	í̵	ɨ	d	d	
ó-noɨ	oɨ	yes	o	ɨ	n	#	
ái-llu-e-na	ái	yes	á	i	#	l	
ái-llu-e-na	u-e	no	u	e	l	n	
cha-quí-ra-cɨ-ngo	uí	yes	u	í	q	r	
rá-bi-aɨ	i-a	no	i	a	b	ɨ	
rá-bi-aɨ	aɨ	yes	a	ɨ	i	#	
rɨ-é-lle-na	ɨ-é	no	ɨ	é	r	l	
í̵ɨ-no-fɨ-re-dɨ-mɨ-e	í̵ɨ	yes	í̵	ɨ	#	n	
í̵ɨ-no-fɨ-re-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
jí̵-rui-zɨ-aɨ	ui	yes	u	i	r	z	
jí̵-rui-zɨ-aɨ	ɨ-a	no	ɨ	a	z	ɨ	
jí̵-rui-zɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
na-uí-ri	a-u	no	a	u	n	í	
na-uí-ri	uí	yes	u	í	a	r	
nó-i-co-ma	ó-i	no	ó	i	n	c	
que-rá-co	ue	yes	u	e	q	r	
ói-a-ca-de	ói	yes	ó	i	#	a	
ói-a-ca-de	i-a	no	i	a	ó	c	
taɨ-áɨ-ri-te	aɨ	yes	a	ɨ	t	á	
taɨ-áɨ-ri-te	ɨ-á	no	ɨ	á	a	ɨ	
taɨ-áɨ-ri-te	áɨ	yes	á	ɨ	ɨ	r	
jéi-de	éi	yes	é	i	j	d	
jíi-bi-cho-ma	íi	yes	í	i	j	b	
í-gɨ-daɨ-aɨ	aɨ	yes	a	ɨ	d	a	
í-gɨ-daɨ-aɨ	ɨ-a	no	ɨ	a	a	ɨ	
í-gɨ-daɨ-aɨ	aɨ	yes	a	ɨ	ɨ	#	
tui-rí-de	ui	yes	u	i	t	r	
jú-ia-do-ai	ú-i	no	ú	i	j	a	
jú-ia-do-ai	ia	yes	i	a	ú	d	
jú-ia-do-ai	o-a	no	o	a	d	i	
jú-ia-do-ai	ai	yes	a	i	o	#	
zɨ-bá-cui-ga	ui	yes	u	i	c	g	
chi-fá-u	á-u	no	á	u	f	#	
éi-ca-ngo	éi	yes	é	i	#	c	
fá-ɨ-ai-de	á-ɨ	no	á	ɨ	f	a	
fá-ɨ-ai-de	ɨ-a	no	ɨ	a	á	i	
fá-ɨ-ai-de	ai	yes	a	i	ɨ	d	
ri-á-na	i-á	no	i	á	r	n	
raɨ-llí-raɨ-te	aɨ	yes	a	ɨ	r	l	
raɨ-llí-raɨ-te	aɨ	yes	a	ɨ	r	t	
ñai-ní-gɨ-te	ai	yes	a	i	ñ	n	
zí-nui-ño	ui	yes	u	i	n	ñ	
do-rí̵-co-fai	ai	yes	a	i	f	#	
fɨ-é-de	ɨ-é	no	ɨ	é	f	d	
ní̵-fue-ni-de	ue	yes	u	e	f	n	
re-tái-ri-te	ái	yes	á	i	t	r	
ju-á-re-de	u-á	no	u	á	j	r	
cue-jí-na	ue	yes	u	e	c	j	
nɨ-cí̵-re-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
cá-ju-e	u-e	no	u	e	j	#	
me-ái-e	e-á	no	e	á	m	i	
me-ái-e	ái	yes	á	i	e	e	
me-ái-e	i-e	no	i	e	á	#	
mí̵ɨ	í̵ɨ	yes	í̵	ɨ	m	#	
ráɨ-re-ri-e	áɨ	yes	á	ɨ	r	r	
ráɨ-re-ri-e	i-e	no	i	e	r	#	
jí-ñu-e	u-e	no	u	e	ñ	#	
jí-ra-nai-te	ai	yes	a	i	n	t	
ó-moɨ-e	oɨ	yes	o	ɨ	m	e	
ó-moɨ-e	ɨ-e	no	ɨ	e	o	#	
mui-zái-de	ui	yes	u	i	m	z	
mui-zái-de	ái	yes	á	i	z	d	
i-á-rai	i-á	no	i	á	#	r	
i-á-rai	ai	yes	a	i	r	#	
ti-nái-zɨ	ái	yes	á	i	n	z	
ra-ó-re	a-ó	no	a	ó	r	r	
ná-ga-ru-i	u-i	no	u	i	r	#	
cai-ñí̵-cɨ	ai	yes	a	i	c	ñ	
éi-co-ngo	éi	yes	é	i	#	c	
llói-ro-jɨ	ói	yes	ó	i	l	r	
cá-cɨ-llai-cɨ	ai	yes	a	i	l	c	
goi-ó-da	oi	yes	o	i	g	ó	
goi-ó-da	i-ó	no	i	ó	o	d	
ji-áɨ-to	i-á	no	i	á	j	ɨ	
ji-áɨ-to	áɨ	yes	á	ɨ	i	t	
dáa-fe-ne	áa	yes	á	a	d	f	
táɨ-jɨ-a	áɨ	yes	á	ɨ	t	j	
táɨ-jɨ-a	ɨ-a	no	ɨ	a	j	#	
llo-nái-de	ái	yes	á	i	n	d	
táɨ-go-fo	áɨ	yes	á	ɨ	t	g	
u-í-nai-raɨ-a	u-í	no	u	í	#	n	
u-í-nai-raɨ-a	ai	yes	a	i	n	r	
u-í-nai-raɨ-a	aɨ	yes	a	ɨ	r	a	
u-í-nai-raɨ-a	ɨ-a	no	ɨ	a	a	#	
úi-fi-e	úi	yes	ú	i	#	f	
úi-fi-e	i-e	no	i	e	f	#	
na-uí-de	a-u	no	a	u	n	í	
na-uí-de	uí	yes	u	í	a	d	
já-lle-cai-de	ai	yes	a	i	c	d	
u-á-fue	u-á	no	u	á	#	f	
u-á-fue	ue	yes	u	e	f	#	
zúu-nai-te	úu	yes	ú	u	z	n	
zúu-nai-te	ai	yes	a	i	n	t	
re-tái-do-te	ái	yes	á	i	t	d	
má-naɨ-dɨ-fo	aɨ	yes	a	ɨ	n	d	
daɨ-dó-fue	aɨ	yes	a	ɨ	d	d	
daɨ-dó-fue	ue	yes	u	e	f	#	
dó-i-de	ó-i	no	ó	i	d	d	
dúi-co-tai-de	úi	yes	ú	i	d	c	
dúi-co-tai-de	ai	yes	a	i	t	d	
ó-ɨe	ó-ɨ	no	ó	ɨ	#	e	
ó-ɨe	ɨe	yes	ɨ	e	ó	#	
jɨ-fá-no-doɨ-de	oɨ	yes	o	ɨ	d	d	
ju-chí-cai-ro-de	ai	yes	a	i	c	r	
ui-bí-jɨ	ui	yes	u	i	#	b	
ú-ai	ú-a	no	ú	a	#	i	
ú-ai	ai	yes	a	i	ú	#	
ñú-e-na	ú-e	no	ú	e	ñ	n	
fí̵-o-co-be-da	í̵-o	no	í̵	o	f	c	
zi-ó-rai	i-ó	no	i	ó	z	r	
zi-ó-rai	ai	yes	a	i	r	#	
i-llú-i-de	ú-i	no	ú	i	l	d	
ñú-e-no	ú-e	no	ú	e	ñ	n	
cai-ñí̵-llɨ	ai	yes	a	i	c	ñ	
gáɨ-ri-re-dɨ-ma	áɨ	yes	á	ɨ	g	r	
mo-có-toɨ	oɨ	yes	o	ɨ	t	#	
zé-rui-ño-te	ui	yes	u	i	r	ñ	
ja-rí̵-fe-nei-de	ei	yes	e	i	n	d	
zúi-coɨ-de	úi	yes	ú	i	z	c	
zúi-coɨ-de	oɨ	yes	o	ɨ	c	d	
jáa-llu-aɨ	áa	yes	á	a	j	l	
jáa-llu-aɨ	u-a	no	u	a	l	ɨ	
jáa-llu-aɨ	aɨ	yes	a	ɨ	u	#	
táɨ-be-co	áɨ	yes	á	ɨ	t	b	
a-mé-o-ma	é-o	no	é	o	m	m	
ní-a	í-a	no	í	a	n	#	
ña-zuí-de	uí	yes	u	í	z	d	
dɨ-ái-de	ɨ-á	no	ɨ	á	d	i	
dɨ-ái-de	ái	yes	á	i	ɨ	d	
e-cí̵-rai	ai	yes	a	i	r	#	
é-oi-de	é-o	no	é	o	#	i	
é-oi-de	oi	yes	o	i	é	d	
raɨ-fó-de	aɨ	yes	a	ɨ	r	f	
nái-da-ri-de	ái	yes	á	i	n	d	
júi-a-re	úi	yes	ú	i	j	a	
júi-a-re	i-a	no	i	a	ú	r	
ní̵-caɨ	aɨ	yes	a	ɨ	c	#	
llɨ-cí̵-nai-te	ai	yes	a	i	n	t	
á-ni-ro-ai	o-a	no	o	a	r	i	
á-ni-ro-ai	ai	yes	a	i	o	#	
e-muí-ro-gɨ-de	uí	yes	u	í	m	r	
i-ó-bi-tɨ-mɨ-e	i-ó	no	i	ó	#	b	
i-ó-bi-tɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
rá-cue-fe	ue	yes	u	e	c	f	
llai-muí-de	ai	yes	a	i	l	m	
llai-muí-de	uí	yes	u	í	m	d	
úi-llo-be-rɨ	úi	yes	ú	i	#	l	
máɨ-ri-fue	áɨ	yes	á	ɨ	m	r	
máɨ-ri-fue	ue	yes	u	e	f	#	
í̵-re-ngu-aɨ	u-a	no	u	a	g	ɨ	
í̵-re-ngu-aɨ	aɨ	yes	a	ɨ	u	#	
já-gɨ-i-llɨ	ɨ-i	no	ɨ	i	g	l	
u-é-de	u-é	no	u	é	#	d	
llíi-rai	íi	yes	í	i	l	r	
llíi-rai	ai	yes	a	i	r	#	
i-llá-rai-ma	ai	yes	a	i	r	m	
jí-ɨ-re	í-ɨ	no	í	ɨ	j	r	
úi-dɨ-no	úi	yes	ú	i	#	d	
i-gáɨ-de	áɨ	yes	á	ɨ	g	d	
ñé-cu-io	u-i	no	u	i	c	o	
ñé-cu-io	io	yes	i	o	u	#	
júi-te	úi	yes	ú	i	j	t	
jí̵ɨ-i-de	í̵ɨ	yes	í̵	ɨ	j	i	
jí̵ɨ-i-de	ɨ-i	no	ɨ	i	í̵	d	
jó-ri-aɨ	i-a	no	i	a	r	ɨ	
jó-ri-aɨ	aɨ	yes	a	ɨ	i	#	
náɨ-me-cɨ-da	áɨ	yes	á	ɨ	n	m	
ui-fí-llaɨ	ui	yes	u	i	#	f	
ui-fí-llaɨ	aɨ	yes	a	ɨ	l	#	
gáɨ-ga	áɨ	yes	á	ɨ	g	g	
nó-i-llɨ-jɨ	ó-i	no	ó	i	n	l	
cóo-ru-ngu-aɨ	óo	yes	ó	o	c	r	
cóo-ru-ngu-aɨ	u-a	no	u	a	g	ɨ	
cóo-ru-ngu-aɨ	aɨ	yes	a	ɨ	u	#	
ne-mó-cui-ro	ui	yes	u	i	c	r	
i-cí̵-ri-lla-fue	ue	yes	u	e	f	#	
mo-nái-gɨ	ái	yes	á	i	n	g	
bo-llái-re-dɨ-cai-na	ái	yes	á	i	l	r	
bo-llái-re-dɨ-cai-na	ai	yes	a	i	c	n	
ráa-ri-zai-de	áa	yes	á	a	r	r	
ráa-ri-zai-de	ai	yes	a	i	z	d	
máa-caɨ	áa	yes	á	a	m	c	
máa-caɨ	aɨ	yes	a	ɨ	c	#	
bí̵-i-ra-llu	í̵-i	no	í̵	i	b	r	
i-có-fai	ai	yes	a	i	f	#	
ri-á-re	i-á	no	i	á	r	r	
zí-foɨ	oɨ	yes	o	ɨ	f	#	
co-mái-jɨ	ái	yes	á	i	m	j	
rí̵-i-cai-de	í̵-i	no	í̵	i	r	c	
rí̵-i-cai-de	ai	yes	a	i	c	d	
nó-noi-chi	oi	yes	o	i	n	c	
a-mé-o	é-o	no	é	o	m	#	
i-llí-nai-ta-de	ai	yes	a	i	n	t	
u-cú-nai-te	ai	yes	a	i	n	t	
í-hi-co-raɨ	aɨ	yes	a	ɨ	r	#	
na-cá-va-i	a-i	no	a	i	v	#	
mi-áɨ-bi	i-á	no	i	á	m	ɨ	
mi-áɨ-bi	áɨ	yes	á	ɨ	i	b	
chúu-no-ri-dɨ-mɨ-e	úu	yes	ú	u	h	n	
chúu-no-ri-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
lle-rá-raɨ-ma	aɨ	yes	a	ɨ	r	m	
rá-fue	ue	yes	u	e	f	#	
rui-fí-rui-te	ui	yes	u	i	r	f	
rui-fí-rui-te	ui	yes	u	i	r	t	
jú-cui-cho-ma	ui	yes	u	i	c	c	
u-í-ga-foɨ-de	u-í	no	u	í	#	g	
u-í-ga-foɨ-de	oɨ	yes	o	ɨ	f	d	
fé-i-re-de	é-i	no	é	i	f	r	
ji-táɨ-ngo	áɨ	yes	á	ɨ	t	n	
úi-gɨ-e	úi	yes	ú	i	#	g	
úi-gɨ-e	ɨ-e	no	ɨ	e	g	#	
tí̵-bi-cai-de	ai	yes	a	i	c	d	
mí̵ɨ-jɨ	í̵ɨ	yes	í̵	ɨ	m	j	
ráɨ-i-ra-llo-ai	áɨ	yes	á	ɨ	r	i	
ráɨ-i-ra-llo-ai	ɨ-i	no	ɨ	i	á	r	
ráɨ-i-ra-llo-ai	o-a	no	o	a	l	i	
ráɨ-i-ra-llo-ai	ai	yes	a	i	o	#	
jó-goi	oi	yes	o	i	g	#	
llíi-jɨ	íi	yes	í	i	l	j	
bai-ná-ngo	ai	yes	a	i	b	n	
zó-i-cɨ	ó-i	no	ó	i	z	c	
ja-cái-be	ái	yes	á	i	c	b	
ní̵-zi-a-no	i-a	no	i	a	z	n	
í-e-gɨ	í-e	no	í	e	#	g	
mo-nái-oi-cai-de	ái	yes	á	i	n	o	
mo-nái-oi-cai-de	i-o	no	i	o	á	i	
mo-nái-oi-cai-de	oi	yes	o	i	i	c	
mo-nái-oi-cai-de	ai	yes	a	i	c	d	
má-ra-cɨ-o	ɨ-o	no	ɨ	o	c	#	
ú-zi-lla-o	a-o	no	a	o	l	#	
ré-ɨ-cɨ-zi-do	é-ɨ	no	é	ɨ	r	c	
jíi-ta-fi-de	íi	yes	í	i	j	t	
máɨ-jɨ-de	áɨ	yes	á	ɨ	m	j	
maa	aa	yes	a	a	m	#	
a-cí̵-i-de	í̵-i	no	í̵	i	c	d	
mó-na-ni-zaɨ	aɨ	yes	a	ɨ	z	#	
zí-caɨ	aɨ	yes	a	ɨ	c	#	
cá-cɨ-e	ɨ-e	no	ɨ	e	c	#	
na-nói-dɨ-mɨ-e	ói	yes	ó	i	n	d	
na-nói-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
dée-po-cɨ	ée	yes	é	e	d	p	
já-gɨ-llɨ-tai-de	ai	yes	a	i	t	d	
bɨ-tá-oi-de	á-o	no	á	o	t	i	
bɨ-tá-oi-de	oi	yes	o	i	á	d	
zái-lla	ái	yes	á	i	z	l	
fe-cá-llai-doɨ	ai	yes	a	i	l	d	
fe-cá-llai-doɨ	oɨ	yes	o	ɨ	d	#	
lló-fue-ga-mɨ-e	ue	yes	u	e	f	g	
lló-fue-ga-mɨ-e	ɨ-e	no	ɨ	e	m	#	
zúu-fue	úu	yes	ú	u	z	f	
zúu-fue	ue	yes	u	e	f	#	
da-gáɨ-de	áɨ	yes	á	ɨ	g	d	
bɨ-zái-ni	ái	yes	á	i	z	n	
ji-cáɨ-de	áɨ	yes	á	ɨ	c	d	
go-bé-rae	ae	yes	a	e	r	#	
u-ái-gai-aɨ-oɨ	u-á	no	u	á	#	i	
u-ái-gai-aɨ-oɨ	ái	yes	á	i	u	g	
u-ái-gai-aɨ-oɨ	ai	yes	a	i	g	a	
u-ái-gai-aɨ-oɨ	i-a	no	i	a	a	ɨ	
u-ái-gai-aɨ-oɨ	aɨ	yes	a	ɨ	i	o	
u-ái-gai-aɨ-oɨ	ɨ-o	no	ɨ	o	a	ɨ	
u-ái-gai-aɨ-oɨ	oɨ	yes	o	ɨ	ɨ	#	
fíi-re-de	íi	yes	í	i	f	r	
nú-io	ú-i	no	ú	i	n	o	
nú-io	io	yes	i	o	ú	#	
rui-dóɨ-ngo	ui	yes	u	i	r	d	
rui-dóɨ-ngo	óɨ	yes	ó	ɨ	d	n	
íi	íi	yes	í	i	#	#	
fée-dɨ-nui-aɨ	ée	yes	é	e	f	d	
fée-dɨ-nui-aɨ	ui	yes	u	i	n	a	
fée-dɨ-nui-aɨ	i-a	no	i	a	u	ɨ	
fée-dɨ-nui-aɨ	aɨ	yes	a	ɨ	i	#	
fé-re-zi-o	i-o	no	i	o	z	#	
fúi-rɨ	úi	yes	ú	i	f	r	
dú-e-zi-e	ú-e	no	ú	e	d	z	
dú-e-zi-e	i-e	no	i	e	z	#	
llái-te	ái	yes	á	i	l	t	
fí̵ɨ-cɨ-ri	í̵ɨ	yes	í̵	ɨ	f	c	
llái-ta	ái	yes	á	i	l	t	
dá-cai-ro-ri-e	ai	yes	a	i	c	r	
dá-cai-ro-ri-e	i-e	no	i	e	r	#	
lloi-ró-de	oi	yes	o	i	l	r	
du-ré-o-ngo	é-o	no	é	o	r	n	
já-i-cɨ-e	á-i	no	á	i	j	c	
já-i-cɨ-e	ɨ-e	no	ɨ	e	c	#	
nó-i-de	ó-i	no	ó	i	n	d	
bó-cɨ-e	ɨ-e	no	ɨ	e	c	#	
cɨ-ó-ca-bi-te	ɨ-ó	no	ɨ	ó	c	c	
rá-cai-ro	ai	yes	a	i	c	r	
éi-co-me	éi	yes	é	i	#	c	
fée-co	ée	yes	é	e	f	c	
jíi-re-de	íi	yes	í	i	j	r	
u-í-jɨ	u-í	no	u	í	#	j	
llai-ñó-llɨ	ai	yes	a	i	l	ñ	
rɨ-í-re	ɨ-í	no	ɨ	í	r	r	
fé-i-ta-te	é-i	no	é	i	f	t	
du-ná-goɨ	oɨ	yes	o	ɨ	g	#	
née-ca	ée	yes	é	e	n	c	
jí̵ɨ	í̵ɨ	yes	í̵	ɨ	j	#	
zo-pé-cho-tai-de	ai	yes	a	i	t	d	
o-nói-ga-mɨ-e	ói	yes	ó	i	n	g	
o-nói-ga-mɨ-e	ɨ-e	no	ɨ	e	m	#	
á-tu-e-do	u-e	no	u	e	t	d	
tɨ-é-ro-te	ɨ-é	no	ɨ	é	t	r	
ráɨ-i-ra-lloi-cɨ	áɨ	yes	á	ɨ	r	i	
ráɨ-i-ra-lloi-cɨ	ɨ-i	no	ɨ	i	á	r	
ráɨ-i-ra-lloi-cɨ	oi	yes	o	i	l	c	
ti-nái-de	ái	yes	á	i	n	d	
née-co-fai	ée	yes	é	e	n	c	
née-co-fai	ai	yes	a	i	f	#	
í̵ɨ-ngo	í̵ɨ	yes	í̵	ɨ	#	n	
naɨ-zé-re-de	aɨ	yes	a	ɨ	n	z	
i-ó-go-be	i-ó	no	i	ó	#	g	
nu-cái-oi-cai-de	ái	yes	á	i	c	o	
nu-cái-oi-cai-de	i-o	no	i	o	á	i	
nu-cái-oi-cai-de	oi	yes	o	i	i	c	
nu-cái-oi-cai-de	ai	yes	a	i	c	d	
ái-llo-mɨ-e	ái	yes	á	i	#	l	
ái-llo-mɨ-e	ɨ-e	no	ɨ	e	m	#	
faɨ-nó-i-cai-de	aɨ	yes	a	ɨ	f	n	
faɨ-nó-i-cai-de	ó-i	no	ó	i	n	c	
faɨ-nó-i-cai-de	ai	yes	a	i	c	d	
aɨ-ní-de	aɨ	yes	a	ɨ	#	n	
ca-cá-rei-de	ei	yes	e	i	r	d	
cui-dí̵-ri-te	ui	yes	u	i	c	d	
ze-ó-dai-te	e-ó	no	e	ó	z	d	
ze-ó-dai-te	ai	yes	a	i	d	t	
mɨ-ó-cɨ	ɨ-ó	no	ɨ	ó	m	c	
í̵-i-do	í̵-i	no	í̵	i	#	d	
fu-é-cai-fei-de	u-é	no	u	é	f	c	
fu-é-cai-fei-de	ai	yes	a	i	c	f	
fu-é-cai-fei-de	ei	yes	e	i	f	d	
za-fé-nai-te	ai	yes	a	i	n	t	
lla-güé-ro-fue	ue	yes	u	e	f	#	
tu-bú-goɨ	oɨ	yes	o	ɨ	g	#	
jaɨ-ró-ru-i-te	aɨ	yes	a	ɨ	j	r	
jaɨ-ró-ru-i-te	u-i	no	u	i	r	t	
úi-coi-ca-bi-dɨ-mɨ-e	úi	yes	ú	i	#	c	
úi-coi-ca-bi-dɨ-mɨ-e	oi	yes	o	i	c	c	
úi-coi-ca-bi-dɨ-mɨ-e	ɨ-e	no	ɨ	e	m	#	
za-í̵-cɨ	a-í̵	no	a	í̵	z	c	
raɨ-á-fo	aɨ	yes	a	ɨ	r	á	
raɨ-á-fo	ɨ-á	no	ɨ	á	a	f	
úi-tɨ-raɨ	úi	yes	ú	i	#	t	
úi-tɨ-raɨ	aɨ	yes	a	ɨ	r	#	
éɨ-co-zɨ	éɨ	yes	é	ɨ	#	c	
rú-i-ca-de	ú-i	no	ú	i	r	c	
ño-ráɨ-de	áɨ	yes	á	ɨ	r	d	
jái-ai	ái	yes	á	i	j	a	
jái-ai	i-a	no	i	a	á	i	
jái-ai	ai	yes	a	i	i	#	
ju-fí-ru-i-te	u-i	no	u	i	r	t	
ái-ca-ni-lle-ba	ái	yes	á	i	#	c	
zúu-rui-te	úu	yes	ú	u	z	r	
zúu-rui-te	ui	yes	u	i	r	t	
ra-nó-raɨ-ma	aɨ	yes	a	ɨ	r	m	
do-cái-ri-te	ái	yes	á	i	c	r	
mo-zí-ñu-a	u-a	no	u	a	ñ	#	
taɨ-né-o-ga-to	aɨ	yes	a	ɨ	t	n	
taɨ-né-o-ga-to	é-o	no	é	o	n	g	
zíi-lla-na	íi	yes	í	i	z	l	
i-zó-ai-ta	ó-a	no	ó	a	z	i	
i-zó-ai-ta	ai	yes	a	i	ó	t	
mé-ni-zaɨ	aɨ	yes	a	ɨ	z	#	
re-nái-de	ái	yes	á	i	n	d	
jɨ-ché-ti-tai-de	ai	yes	a	i	t	d	
jaɨ-gá-bɨ	aɨ	yes	a	ɨ	j	g	
cu-bí̵-cɨ-tai-de	ai	yes	a	i	t	d	
móo-ma	óo	yes	ó	o	m	m	
ai-llá-ngo	ai	yes	a	i	#	l	
jaɨ-bó-de	aɨ	yes	a	ɨ	j	b	
i-zói	ói	yes	ó	i	z	#	
mó-co-toɨ	oɨ	yes	o	ɨ	t	#	
gua-má-nɨe	ua	yes	u	a	g	m	
gua-má-nɨe	ɨe	yes	ɨ	e	n	#	
ɨ-duí-ri-te	uí	yes	u	í	d	r	
caɨ-nó-de	aɨ	yes	a	ɨ	c	n	
zɨ-cí̵-goɨ	oɨ	yes	o	ɨ	g	#	
zí-ra-o	a-o	no	a	o	r	#	
bo-bái-o	ái	yes	á	i	b	o	
bo-bái-o	i-o	no	i	o	á	#	
i-zái-de	ái	yes	á	i	z	d	
bo-bái-e	ái	yes	á	i	b	e	
bo-bái-e	i-e	no	i	e	á	#	
rí̵ɨ-ze-gɨ-de	í̵ɨ	yes	í̵	ɨ	r	z	
zɨ-cí̵-naɨ-ma	aɨ	yes	a	ɨ	n	m	
llo-nái-jɨ	ái	yes	á	i	n	j	
ñí̵ɨ-de	í̵ɨ	yes	í̵	ɨ	ñ	d	
nú-iu-e-nɨ	ú-i	no	ú	i	n	u	
nú-iu-e-nɨ	iu	yes	i	u	ú	e	
nú-iu-e-nɨ	u-e	no	u	e	i	n	
jí̵-ca-u-ai-ri-e-de	a-u	no	a	u	c	a	
jí̵-ca-u-ai-ri-e-de	u-a	no	u	a	a	i	
jí̵-ca-u-ai-ri-e-de	ai	yes	a	i	u	r	
jí̵-ca-u-ai-ri-e-de	i-e	no	i	e	r	d	
ui-tí̵-mɨ-e	ui	yes	u	i	#	t	
ui-tí̵-mɨ-e	ɨ-e	no	ɨ	e	m	#	
í-gɨ-i-llɨ-co-do	ɨ-i	no	ɨ	i	g	l	
dí̵-i-de	í̵-i	no	í̵	i	d	d	
í-ai-ru-a	í-a	no	í	a	#	i	
í-ai-ru-a	ai	yes	a	i	í	r	
í-ai-ru-a	u-a	no	u	a	r	#	
i-llé-baɨ	aɨ	yes	a	ɨ	b	#	
ra-í-ra-ɨe	a-í	no	a	í	r	r	
ra-í-ra-ɨe	a-ɨ	no	a	ɨ	r	e	
ra-í-ra-ɨe	ɨe	yes	ɨ	e	a	#	
zíi-ño	íi	yes	í	i	z	ñ	
níi-ro	íi	yes	í	i	n	r	
já-fai-cɨ-tai-de	ai	yes	a	i	f	c	
já-fai-cɨ-tai-de	ai	yes	a	i	t	d	
tú-i-re	ú-i	no	ú	i	t	r	
rui-ré-de	ui	yes	u	i	r	r	
ui-é-co	ui	yes	u	i	#	é	
ui-é-co	i-é	no	i	é	u	c	
ráa-ve	áa	yes	á	a	r	v	
güi-tá-ra-goɨ	oɨ	yes	o	ɨ	g	#	
jo-tái-de	ái	yes	á	i	t	d	
lló-fue-te	ue	yes	u	e	f	t	
má-i-ca-zi	á-i	no	á	i	m	c	
bui-nái-ma	ui	yes	u	i	b	n	
bui-nái-ma	ái	yes	á	i	n	m	
núu-do	úu	yes	ú	u	n	d	
tɨ-á-fai	ɨ-á	no	ɨ	á	t	f	
